00138AB3ED7A8C058825782A00740AE4&count=5;AL'S GOURMET FALAFEL;181 LePage Road;
0F1F7BA07516C825882579BA005CFA17&count=5;CENOTE RESTAURANT AND LOUNGE (KITCHEN);768 Yates Street;
0F94B4D80B9F7E44882569B7000CE2DA&count=5;KEG STEAKHOUSE AT THE HARBOUR; 500 Fort Street;
0FBC9CD8ECA0D05F8825789C005E7861&count=5;KFC #1860;1555 Hillside Avenue;
0FF04B114FAC680F8825789D007F4052&count=5;KFC #1861;3140 Douglas Street;
10122E479484D797882572C700587136&count=5;A LA CARTE MOBILE CATERING;679 Ralph Street;
105FDC5930858809882569B7000CE9F3&count=5;WELLESLEY VICTORIA, DINING;2800 Blanshard Street;
1072F3718798F00E882574CC005E130E&count=5;CAFE D'AMORE;777 Douglas Street;
10A1B177948D3AD388256A9500670248&count=5;ORANGE JULIUS DQ;134 1644 Hillside Avenue;
115D2E480F41799288257569007E0329&count=5;MY THAI CAFE;1020 Cook Street;
11BBAB2BBC3848F5882569B7000CE423&count=5;GLEN'S FABULOUS SANDWICHES;414 - 1150 Douglas Street;
11E58978F7A11B3B8825774200731464&count=5;ULLA RESTAURANT;509 Fisgard Street;
127AB60B9E96BAAE882569B7000CE4DC&count=5;LIFESTYLE MARKETS, GROCERIES;180 2950 Douglas Street;
128B7E8BCBA73C3988257AF60066F5EE&count=5;TEAVANA, #837;616 Fort Street;
1296AF7800052074882577A0005E50D3&count=5;GOURMET GRILL;402 - 1510 Hillside Avenue;
12C227DADA4EFA3088256B2100632A42&count=5;INNOVATIONS CATERING ;108 Niagara Street;
13519C86B498B2DA882569B7000CE7C1&count=5;SAVE ON FOODS #973, GROCERY;172 Wilson Street;
13594AA46A60DABC88257A01005962C3&count=5;MOTHER NATURE'S MARKET & DELI, GROCERY;103 - 240 Cook Street;
13DBFA2496DE79298825746A005F3E2F&count=5;DISCOVERY COFFEE;660 Discovery Street;
13EE4B07C76AF6868825718B00714A49&count=5;BOND BOND'S BAKERY;1010 Blanshard Street;
14E80DAA04A55D0B882569B7000CE2C7&count=5;PLUTO'S RESTAURANT;1150 Cook Street;
15EAD2FBF21B03E8882569B7000CE4B3&count=5;EAST GARDEN RESTAURANT;2888 Belmont Avenue;
163E1D6002A6C8FB882569B7000CE821&count=5;ROYAL SCOT, GIFT SHOP;425 Quebec Street;
1642F5D2A16242DE88256F8000754D1C&count=5;BEACON DRIVE-IN;126 Douglas Street;
1680F4D4E3867FCB88256F5D00653B21&count=5;HOT HOUSE PIZZA;110 - 180 Wilson Street;
16B38852D1364BC78825763400718956&count=5;SOUNDS LIKE COFFEE;915 Gordon Street;
170DF2C48B45DE9B882571960079CFF3&count=5;FAIRWAY MARKET #11 DELI;2635 Quadra Street;
174385A5836B0232882577000069A7CC&count=5;EUGENE'S GREEK RESTAURANT;103 1990 Fort Street;
17475B476D82EC49882579060080EEB9&count=5;TEMPLE EVENT & CATERING CENTRE, LOUNGE;525 Fort Street;
17723FB0923E327088257626007462BC&count=5;SHIKI SUSHI;1113 Blanshard Street;
18183FD769280859882578470069F819&count=5;VENUS SOPHIA TEA ROOM & VEGETARIAN EATERY;540 Fisgard Street;
18B719BCB0AE99D88825752400632839&count=5;MOKA HOUSE;345 Cook Street;
18E55F1663F9657D882576B8007E8004&count=5;MCDONALD'S;980 Pandora Avenue;
18FD366C4BCFD5098825757E00577628&count=5;LIDO WATERFRONT BISTRO;1234 Wharf Street;
1967BCDBE0939F40882578EF0065DC0C&count=5;BIN 4 BURGER LOUNGE;180 - 911 Yates Street;
19C7BD8A4A13F6CB8825791200660486&count=5;VIHA - ABERDEEN HOSPITAL;1450 Hillside Avenue;
1A5069B2C40CB5CD88256F34005A1671&count=5;FLOYD'S DINER;866 Yates Street;
1A5492A7B992AF8F882569B7000CE499&count=5;PASSERO'S RESTAURANT;1102 Yates Street;
1A551C102809F7B1882572AB005B29D8&count=5;AMART;652 Yates Street;
1AA12DA8B87A931A8825710F0077EFB8&count=5;FAIRFIELD FISH & CHIPS;1277 Fairfield Road;
1AAEC7F1EDED212688257324007BCEA9&count=5;MOKA HOUSE;110 - 19 Dallas Road;
1ABABCFFC10DE624882569B7000CE359&count=5;VICTORIA CURLING CLUB, KITCHEN;1952 Quadra Street;
1AFE07D0C808CCED882569B7000CE927&count=5;SAINT FRANCIS MANOR BY THE SEA;1128 Dallas Road;
1C02D1AF1FC4825988257A25006462B5&count=5;MAC'S #11213;1300 Douglas Street;
1C34B81248A4D7528825767B00807D6D&count=5;MIRAGE COFFEE;817 Government Street;
1C3733395B01F966882569B7000CE51F&count=5;MAX & MORITZ SPICY ISLAND FOOD HOUSE;Usual Location: Sturdies Bay Ferry Terminal;
1D5FA6FD2C4CE8C28825712400006774&count=5;WINKS CONVENIENCE STORE;290 2950 Douglas Street;
1D604DCA677A13A088257B39005D4F82&count=5;THE TEAHOUSE AT ABKHAZI GARDEN;1964 Fairfield Road;
1D7F2928A3EB57E8882577B50061BE02&count=5;SHIMA SUSHI JAPANESE RESTAURANT;1218 Wharf Street;
1E680E6A01978E9F882569B7000CE9B8&count=5;FAIRFIELD COMMUNITY ASSOCIATION;1330 Fairfield Road;
1E98978A1330301D882579CE007DCB29&count=5;153 WITH J & FLOWERS CONVENIENCE STORE;1537 Fort Street;
1FB6ED27A81A8BE9882579D700771882&count=5;FIFTH ST WOODFIRED GRILL - KITCHEN;1028 Hillside Avenue;
1FB9BD210984E62B88257A5A0076FE5F&count=5;ARRIBA COFFEE HOUSE;1610 Cook Street;
202E9962ED95EBEC882569B7000CE525&count=5;GAMES ROOM;919 Douglas Street;
203E681790804A54882573DF007DCF50&count=5;SERIOUS COFFEE;103 - 225 Menzies Street;
2056176F4B46F277882569B7000CE9B3&count=5;SIDNEY LIONS LUNCH BOX;Sidney Area;
20BE852959234577882573930076FABE&count=5;DOMINO'S PIZZA;102 1420 Quadra Street;
20F0382B8F2BEEBC8825770700732CCB&count=5;MO:LÉ RESTAURANT;554 Pandora Avenue;
20F58FBEB6F98C29882569B7000CE43C&count=5;RE-BAR MODERN FOODS;50 Bastion Square;
2102DDA5F9F9901E882569B7000CE308&count=5;OXFORD FOODS, MEAT;271 Cook Street;
216CB31D0945EFCF8825727D0061479C&count=5;LANGFORD FIRE DEPARTMENT;2625 Peatt Road;
2198C85C07035743882569B7000CE9A5&count=5;9-10 CLUB;740 View Street;
21B60C7CB070A09988257B09006721D5&count=5;TEAVANA #836;125 3147 Douglas Street;
2209D18C2DD3E0AD88256E6300764401&count=5;SUBWAY SANDWICHES & SALADS;456B Gorge Road East;
22237509D44E89D488256C0900579E56&count=5;MESSOB ETHIOPIAN CUISINE;8 1109 McKenzie Street;
223F1251ABBC9A74882569B7000CE5BB&count=5;PACIFIC RESTAURANT;463 Belleville Street;
2254D00A27C9D8DE882569B7000CE4F3&count=5;EBIZO JAPANESE RESTAURANT;604 Broughton Street;
226E94C1A41A9F96882569FC00647674&count=5;DOUBLES OYSTER BAR;777 Douglas Street;
228ED7DC9B7975C588256EF200682820&count=5;KITTY'S HIDEAWAY;3020 Douglas Street;
22B5C7ADC468F18A882575CF00771FB2&count=5;DISCOVERY COFFEE;1964 Oak Bay Avenue;
22F7F716DF44754F882571960062C38C&count=5;CORNERSTONE CAFE;1301 Gladstone Avenue;
2313C9F23D974EC8882575360000BEBA&count=5;CUP OF JOE CAFE;1 - 230 Menzies Street;
232A208221E23B84882573C900676585&count=5;SHARE ORGANICS/FOOD ROOTS;2 & 3 625 Hillside Avenue;
233D54E10088283B88257A4F00743458&count=5;JUGO JUICE;101 - 1150 Douglas Street;
23A241220D22B80B882569B7000CE86D&count=5;SUBWAY;1 774 Bay Street;
240E5404ADDA317B882569B7000CE39B&count=5;BELFRY THEATRE;1294 Gladstone Avenue;
24650CF49D83C72B88257AFC006B7B9D&count=5;TEQUILA HOUSE CORPORATE CATERING;3009 Gosworth Road;
246F9C57877AC27A88257A240065B248&count=5;RAINFOREST CAFE;558 Taylor Road;
2481448C8CC3E7458825798A005D8852&count=5;ARBY'S;FC 1 3147 Douglas Street;
24C01D1E8CF13C30882575DF005A9811&count=5;CASEY'S SOFT ICE CREAM;3937 Grange Road;
24DA9F6FFFE2B2C8882569B7000CE8F1&count=5;7-ELEVEN;1327 Douglas Street;
2520E7E6AC18BB8688257ABC006303A3&count=5;WILD COFFEE;632 Yates Street;
254584029E6927F5882569B7000CE9C3&count=5;ST. MATTHIAS CHURCH HALL;600 Richmond Road;
25B1E262CEFFE0F088256A2C005A6922&count=5;BAYANIHAN COMMUNITY CENTRE;1709 Blanshard Street;
25BB9A904AEBA6848825771F005858FF&count=5;MOONLIGHT CATERING;209 Carmanah Place;
2676C333CC4F70F1882569B7000CE694&count=5;SWIFTSURE RESTAURANT;427 Belleville Street;
27ABD3ED454DCC82882569B7000CEA09&count=5;BECKLEY FARM LODGE; 530 Simcoe Street;
27CE6A36BC208AC7882576B0006D0A7D&count=5;DARCY'S PUB;1127 Wharf Street;
281D6359A4BAE13288256C7000836F44&count=5;FIRE & WATER FISH AND CHOP HOUSE; 728 Humboldt Street;
28A5FE3F05E0BF3F88257662006B2946&count=5;NIAGARA GROCERY;579 Niagara Street;
28B791B268E148E688256E7000660B06&count=5;SUBWAY;1964 Fort Street;
297824EAE371A751882569B7000CE68F&count=5;MR. TUBE STEAK #64;Vancouver Island Health Authority;
2A29B1A65DCCD4F088257A01005FA731&count=5;SERIOUS COFFEE - BLANSHARD;100 1609 Blanshard Street;
2A69CE2AD08A734488257A3F007C6AC2&count=5;THE PURPLE YAM SWEET CREATIONS;1709 Blanshard Street;
2ACB241FA7ADA6AA88257AA700800861&count=5;CURRY LOUNGE RESTAURANT;103 - 535 Yates Street;
2B2DD94FF7FFEEF788256A2B005ADD31&count=5;WILD SAFFRON BISTRO; 506 Pandora Avenue;
2B4C1B8409538CF9882569B7000CE8A6&count=5;MAPLE ROOM;919 Douglas Street;
2B63E29073DCB5FE882569B7000CE3EF&count=5;WHITE EAGLE POLISH HALL;90 Dock Street;
2B7530E2FC441C5F882569B7000CE9F9&count=5;GLENWARREN LODGE;1230 Balmoral Road;
2B8CDD422AEAE5DB882576BD0063836E&count=5;HABIT COFFEE;808 Yates Street;
2BAA4B9143192A498825774C00728F98&count=5;RELISH FOOD AND COFFEE;920 Pandora Avenue;
2BB06DCAB5B6221A88257929007CC0B1&count=5;PUERTO VALLARTA AMIGOS;Dock C-39 - 12 Erie Street;
2C08CD118CC305A688257029007E95D5&count=5;7-ELEVEN;910 Government Street;
2C3A1B53BBEE843788257689006CC17A&count=5;AIDS VANCOUVER ISLAND;3rd Floor 713 Johnson Street;
2C7288E9725C74DF88257833005D2ED5&count=5;THRIFTY FOODS, SUSHI BAR;1590 Fairfield Road;
2C8FC4731349C9FD882569B7000CE3A7&count=5;HAULTAIN GROCERY;1447 Haultain Street;
2CB46DEEF30345F688257A2C0070FCFE&count=5;GROCERY PLUS, DELI;1128 Quadra Street;
2CF166B5059ED474882579BA00631440&count=5;STONE'S THROW;642 Johnson Street;
2CF356EC987E33A288257333005C6BEF&count=5;JAMES BAY COFFEE & BOOKS ETC.;143 Menzies Street;
2D7AE93E81C564C488256A7A00674CBE&count=5;VICTORIA BBQ HOUSE & BAKERY;1714 Government Street;
2DAE178272348D3A882569B7000CE49F&count=5;SUBWAY;101 - 1111 Blanshard Street;
2DBCC43D423F60FF882570540071AA88&count=5;PIZZA ZONE;1806 Cook Street;
2DC8E7617FCFE4DE882569B7000CE764&count=5;PARADISO DI STELLE;10 Bastion Square;
2E152AB6F606B619882569B7000CE492&count=5;DOLCE VITA COFFEE ART;160 - 911 Yates Street;
2E269C016329FA69882569B7000CE85F&count=5;MR. TUBE STEAK, COMMISSARY;2925 Douglas Street;
2E8B4E9FCE06C6148825777B00565E0D&count=5;LA TAQUISA;325 Cook Street;
2F0F40C8A7A8EFCD88257A130066B95C&count=5;SALT SPRING TOURS;220 Quebec Drive;
2F8A7ACF2587324D882578C4007DA398&count=5;VILLAGES EXPRESS - ROVING BISTRO;1 - 70 Dallas Road;
2F9C1832E469C91D882569B7000CE4ED&count=5;NEW YORK FRIES;FC209 - 1670 Hillside Avenue;
2FE9FE381EC21B5C8825742800729A0B&count=5;PAPARAZZI NIGHT CLUB;642 Johnson Street;
3019DF4B7D248E3188256ABF007983CB&count=5;AZUMA SUSHI;615 Yates Street;
301BBFD2962674AE88257AAD0066359D&count=5;THE YATES ST. TAPHOUSE BAR & GRILLE - KITCHEN;759 Yates Street;
30D462AAEADDD3AC882571230079E388&count=5;TACO TIME;412 - 1150 Douglas Street;
3116573FDA8DDC9C882569B7000CE6CA&count=5;MUCH MORE FOODS;1120 Hillside Avenue;
316AB51A64376B91882569B7000CE527&count=5;STICKY WICKETT;919 Douglas Street;
319E9DC8C42FF09288257B4400670BE4&count=5;THE JAPANESE VILLAGE RESTAURANT;734 Broughton Street;
31B221F978FAFB1588256CC300015B27&count=5;SUBWAY;FC4 3147 Douglas Street;
31CCE6933FA3D0DE88256ED8007BF379&count=5;SHANGHAI NOODLE ;2224 Quadra Street;
31D52FAC34A0F45088257243008030AF&count=5;PEACOCK BILLIARDS & JAMES JOYCE BISTRO;1175C Douglas Street;
31F816047328AB93882573530077BDF9&count=5;THRIFTY FOODS #6, GROCERY;475 Simcoe Street;
31FF7EE50C87D23888257B3A0070CFCD&count=5;ROSS PLACE RETIREMENT RESIDENCE;2638 Ross Lane;
3344A23244AA3BAC882569B7000CE419&count=5;PURDY'S CHOCOLATES;102 - 1150 Douglas Street;
33832F1897948242882578540058BD5A&count=5;VICTORIA OVENS;2451 Twin View Drive;
33C17AF2E6D0F681882575EC007D7BFE&count=5;EDIBLE ARRANGEMENTS;3 797 Hillside Avenue;
340F375F1C0EA1868825798200740654&count=5;HUNGRY ROOSTER FOOD TRUCK;3710 Savannah Avenue;
349B0B92E7AA775E8825782A005F7CEF&count=5;SUBWAY;4 1952 Bay Street;
34E403D49F6DD2E48825787F0077C8F9&count=5;TAMALES DON CARLOS;1335 Thurlow Road;
350B7A4EFDC13169882574F00058F15C&count=5;KEN'S CAFE;105 - 1120 Yates Street;
357BF418A00C328A882569B7000CE42E&count=5;SWAN'S BREW PUB;506 Pandora Avenue;
35AE2914C9A917AD88256FDD0059FECF&count=5;SMOKIE JOE'S MOBILE CATERING;204 - 1007 Esquimalt Road;
35DC0A3CEBE17D838825737F006E63A0&count=5;GRINDSTONE CAFE;504 Herald Street;
35EA7C786FF567518825712A00730EEA&count=5;MILESTONE'S OPEN WATER GRILL;812 Wharf Street;
3627E81B69DF032F88256B680081FA3C&count=5;ALBION FISHERIES;740 Tyee Street;
366193D5146EB8C288257995005A177A&count=5;CHOCOLAT CHOCOLATIÉRE DE VICTORIA;703 Fort Street;
3673B0E3AB471377882569B7000CE635&count=5;WAYSIDE HOUSE; 550 Foul Bay Road;
36D1D1107E85B50488256A6B006DDF0F&count=5;BLACK OLIVE;737 739 Pandora Avenue;
371137180EB7BD1588257352007123A3&count=5;THRIFTY FOODS #1, GROCERY;1590 Fairfield Road;
37376C65C64110C288257463007939B2&count=5;OPA! SOUVLAKI;435 - 1150 Douglas Street;
37A1DB1466B9EBB788257537006A625F&count=5;QUADRA VILLAGE BUTCHER SHOP;2618 Quadra Street;
37BEAFCC6799D73F88256F23005955F1&count=5;STARBUCKS COFFEE CO. #4569;10 1544 Fairfield Road;
38089CB230FDEE30882569B7000CE36F&count=5;IRENE'S BAKERY;2527 Government Street;
380AACA37403B00D882569B7000CE39E&count=5;CANADA SAFEWAY #80, BAKERY;1950 Foul Bay Road;
38162368F212F5998825795700017410&count=5;OCEAN EXPLORATIONS/SUBSEA SPORTS;602 Broughton Street;
38AB980818DDFC07882575A5005914C4&count=5;VENETO TAPA LOUNGE;1450 Douglas Street;
393E448F22D4D64D882575C100781109&count=5;PODIUM SPORTS GRILL;531 Yates Street;
3957C8758304DBEA8825715C0062D6B4&count=5;VICTORIA GIFT PLUS;102 1600 Government Street;
3963F9206056A17C88257B5C0055E450&count=5;BIG ORANGE;410 - 1150 Douglas Street;
398408FC3EAD7F8C882571C50077DCF5&count=5;SMITH'S GREEN ROOM RESTAURANT;850 Blanshard Street;
3998306F06F21F6D8825747F007053F8&count=5;HETHERINGTON HOUSE - KIWANIS VILLAGE;3033 Cook Street;
39A349950F0B27BD8825728100787B32&count=5;MAC'S CONVENIENCE STORE # 11040;265 Menzies Street;
39C6CC1934E1DAEC882569B7000CE471&count=5;MILLOS RESTAURANT;716 Burdett Avenue;
39DD96CD6E39A3FF88257A92005A1A32&count=5;BAGELS ON BROUGHTON;851 Broughton Street;
3A49297AD388F41188257352006275D5&count=5;THRIFTY FOODS #17, DELI;1580 Hillside Avenue;
3A887BE88F19835B88257199005EAD5C&count=5;FAIRWAY MARKET #11 BAKERY;2625 Quadra Street;
3A98D19B091A09E78825787F005B3878&count=5;PUERTO VALLARTA AMIGOS #2;Broughton & Douglas Street;
3AED70CC4087745688256BDF006F46BF&count=5;EXTREME OUTREACH;Capital Regional District;
3AF213D38870C334882569B7000CE523&count=5;BIG BAD JOHNS;919 Douglas Street;
3B043C1A361288F088256C59005CD7C5&count=5;COSMOS 2 FOR 1 PIZZA & PASTA;1557 Pandora Avenue;
3B43D77231689BB08825717E005C548C&count=5;JACKSON'S ICE CREAM FLOAT;310 St. Lawrence Street;
3B771BA56A462E7F88256CCC0083772D&count=5;NEW YORK FRIES;FC 5 3147 Douglas Street;
3BBD1A082E4D9AFC88257352005DCF15&count=5;THRIFTY FOODS #17, BAKERY;1580 Hillside Avenue;
3C08D1CC8723241C882569B7000CE3BE&count=5;CANADA SAFEWAY #80, MEAT;1950 Foul Bay Road;
3C15691DDF91218288257952006B2BA7&count=5;INGREDIENTS HEALTH FOOD & CAFE, STORE;2031 Store Street;
3C1B72B3AAEB9831882569B7000CE39A&count=5;BAY GROCERY;1611 Bay Street;
3C1BB3C54764DE7E882569B7000CE34A&count=5;NORTH PARK MANOR;875 North Park Street;
3C8F71B55015FD80882569B7000CE3F6&count=5;CANADA SAFEWAY #80, FISH;1950 Foul Bay Road;
3D23A70DE5174F49882569B7000CE4D3&count=5;STARBUCKS COFFEE CO. #132;320 Cook Street;
3D37E94CC69ED2338825748E0076E50F&count=5;SURA KOREAN RESTAURANT;1696 Douglas Street;
3D4B701329FA363488256EE10059905C&count=5;ABIGAIL'S HOTEL;906 McClure Street;
3D950C31573A5A548825791200727665&count=5;VIHA - GORGE ROAD HOSPITAL;63 Gorge Road East;
3DCAECFB8446402C8825716F005E6444&count=5;MR. TUBE STEAK #175;Vancouver Island Health Authority;
3DDE7D128319E15C88257B43006ACF76&count=5;THE APPLE BOX;521 Craigflower Road;
3DFCA0603197B711882575DD00670A57&count=5;JAGASILK;A17 - 633 Courtney Street;
3E28DE6AB5B4FBB688256CC3006C794F&count=5;NOODLE BOX;626 Fisgard Street;
3E4FE293ACD9A18B88257992006BD7D6&count=5;OPA SOUVLAKI OF GREECE;FC204 - 1644 Hillside Avenue;
3E582B7CB5212EE2882569B7000CE7E3&count=5;EMBASSY INN, LOUNGE;520 Menzies Street;
3F210F9D4BB9C78C8825719900574B36&count=5;FAIRWAY MARKET # SEAFOOD;2635 Quadra Street;
3F349BE7A8AFC5F4882569F2007D1F86&count=5;PHO HOA RESTAURANT;765 Fort Street;
3F964FCFA1A790AB88256FBD00790EAB&count=5;CATAWAMPUS FUDGE FACTORY;302 1208 Wharf Street;
3FE0A9E7996AE90B882576E70064BF8F&count=5;SANDS FUNERAL CHAPEL;1803 Quadra Street;
3FECD13108C4815D88257A0100721D5B&count=5;PIZZA ON FORT;1885 Fort Street;
402829B00B37FC6988257A01005907A0&count=5;MOTHER NATURE'S MARKET & DELI;103 - 240 Cook Street;
402DE48D8137C22F882569B7000CE430&count=5;BLUE CRAB GRILL;146 Kingston Street;
4032AFB245BE8379882569B7000CE2D9&count=5;JAMES BAY TEA ROOM & RESTAURANT;332 Menzies Street;
4044F9DBD760ECF188256F270077C401&count=5;NORTH PARK CENTRE;1035B North Park Street;
408B82084DA0303088256B280060308B&count=5;TODAY'S LUNCH CO.;361 Burnside Road East;
40AB5086857F47FD88256A95005F3C54&count=5;SOLSTICE CAFE LIMITED;529 Pandora Avenue;
40BA1DB7DF7772E188256A470076957D&count=5;BAAN THAI RESTAURANT;1117 Blanshard Street;
40E63499FF7721D688256FA300824C63&count=5;SIDE DISH RESTAURANT;1000 Langley Street;
40FF165E929577E588257991007753F8&count=5;COOKS DAY OFF FINE FOODS & CATERING;1883 Fort Street;
4148A61F7C261AE188256C3200720294&count=5;GUDEWELL CAFETERIA;801 Bank Street;
41C3621D5EFCECB8882573520064800F&count=5;THRIFTY FOODS #17, GROCERY;1580 Hillside Avenue;
41EAEBAE3DDE002D882578A9007362F9&count=5;DOG NATION;3659 Raymond Street South;
41F388FEB388F31A882576BE00656218&count=5;MCDONALD'S;100 - 2950 Douglas Street;
4220DC5525FFAC058825727A006DCFDF&count=5;GRILLIGANS BBQ;310 St. Lawrence Street;
42311391922FA3B9882571CD00663D5D&count=5;BARB'S PLACE;310 St. Lawrence Street;
